,level_0,Unnamed: 0,index,Type,NP,Answer,RT,Item,Correct,Participant,Source,New Participant
0,0,1,0,filler_no,бюджетный вирус,Нет,1525,бюджетный,1,0,Yandex Toloka,0
1,1,2,1,filler_yes,вкусный помидор,Да,959,вкусный,1,0,Yandex Toloka,0
2,2,3,2,filler_no,круглосуточное тесто,Нет,1133,круглосуточное,1,0,Yandex Toloka,0
3,3,4,3,filler_no,точечный паркет,Нет,1331,точечный,1,0,Yandex Toloka,0
4,4,5,4,filler_yes,удобный сервис,Да,895,удобный,1,0,Yandex Toloka,0
5,5,6,5,filler_no,компетентный грот,Нет,1191,компетентный,1,0,Yandex Toloka,0
6,6,7,6,filler_no,зеркальная сигарета,Нет,1151,зеркальная,1,0,Yandex Toloka,0
7,7,8,7,filler_yes,деревянная лавочка,Да,936,деревянная,1,0,Yandex Toloka,0
8,8,9,8,filler_no,талантливый пирог,Нет,1045,талантливый,1,0,Yandex Toloka,0
9,9,10,9,filler_no,включенный комод,Нет,1218,включенный,1,0,Yandex Toloka,0
10,10,11,10,bleaching,бешеный голод,Да,1631,бешеный,1,0,Yandex Toloka,0
11,11,12,11,literal_b,безумные ученые,Да,1004,безумные,1,0,Yandex Toloka,0
12,12,13,12,filler_yes,влажная трава,Да,783,влажная,1,0,Yandex Toloka,0
13,13,14,13,metaphor,сладкая слава,Нет,1097,сладкая,0,0,Yandex Toloka,0
14,14,15,14,filler_no,отсталый снег,Нет,953,отсталый,1,0,Yandex Toloka,0
15,15,16,15,literal_m,светлая ткань,Да,818,светлая,1,0,Yandex Toloka,0
16,16,17,16,filler_no,консервная пьеса,Нет,1002,консервная,1,0,Yandex Toloka,0
17,17,18,17,filler_yes,умный друг,Да,784,умный,1,0,Yandex Toloka,0
18,18,19,18,filler_no,усатая корзина,Нет,886,усатая,1,0,Yandex Toloka,0
19,19,20,19,filler_no,мозговая сирень,Нет,1069,мозговая,1,0,Yandex Toloka,0
20,20,21,20,filler_yes,газовая печка,Да,971,газовая,1,0,Yandex Toloka,0
21,21,22,21,filler_no,торопливый комок,Нет,1027,торопливый,1,0,Yandex Toloka,0
22,22,23,22,filler_no,влиятельный сад,Нет,821,влиятельный,1,0,Yandex Toloka,0
23,23,24,23,filler_yes,тёплая погода,Да,794,тёплая,1,0,Yandex Toloka,0
24,24,25,24,filler_no,щедрый факел,Нет,1004,щедрый,1,0,Yandex Toloka,0
25,25,26,25,filler_no,хоровой арбуз,Нет,810,хоровой,1,0,Yandex Toloka,0
26,26,27,26,bleaching,тяжёлый кашель,Да,860,тяжёлый,1,0,Yandex Toloka,0
27,27,28,27,literal_b,крепкие зубы,Да,722,крепкие,1,0,Yandex Toloka,0
28,28,29,28,filler_yes,быстрый транспорт,Да,721,быстрый,1,0,Yandex Toloka,0
29,29,30,29,metaphor,ледяной кофе,Да,878,ледяной,1,0,Yandex Toloka,0
30,30,31,30,filler_no,женатый отчет,Нет,810,женатый,1,0,Yandex Toloka,0
31,31,32,31,literal_m,острые ножи,Да,660,острые,1,0,Yandex Toloka,0
32,32,33,32,filler_no,гордый мрамор,Нет,755,гордый,1,0,Yandex Toloka,0
33,33,34,33,filler_yes,известный актёр,Да,854,известный,1,0,Yandex Toloka,0
34,34,35,34,filler_no,хвойная сплетня,Нет,795,хвойная,1,0,Yandex Toloka,0
35,35,36,35,filler_no,томатный приют,Нет,827,томатный,1,0,Yandex Toloka,0
36,36,37,36,filler_yes,гнилой томат,Да,782,гнилой,1,0,Yandex Toloka,0
37,37,38,37,filler_no,честный крюк,Нет,811,честный,1,0,Yandex Toloka,0
38,38,39,38,filler_no,литровый диван,Нет,784,литровый,1,0,Yandex Toloka,0
39,39,40,39,filler_yes,белые носки,Да,720,белые,1,0,Yandex Toloka,0
40,40,41,40,filler_no,выпускной цвет,Нет,748,выпускной,1,0,Yandex Toloka,0
41,41,42,41,filler_no,антисоветская река,Нет,731,антисоветская,1,0,Yandex Toloka,0
42,42,43,42,bleaching,дикий негатив,Нет,867,дикий,0,0,Yandex Toloka,0
43,43,44,43,literal_b,глубокий овраг,Да,767,глубокий,1,0,Yandex Toloka,0
44,44,45,44,filler_yes,апельсиновый сок,Да,801,апельсиновый,1,0,Yandex Toloka,0
45,45,46,45,metaphor,грязная ложь,Да,755,грязная,1,0,Yandex Toloka,0
46,46,47,46,filler_no,цветущая помада,Нет,773,цветущая,1,0,Yandex Toloka,0
47,47,48,47,literal_m,холодный склад,Да,1052,холодный,1,0,Yandex Toloka,0
48,48,49,48,filler_no,здравый паспорт,Нет,788,здравый,1,0,Yandex Toloka,0
49,49,50,49,filler_yes,свежие новости,Да,685,свежие,1,0,Yandex Toloka,0
50,50,51,50,filler_no,тревожный кошелёк,Нет,854,тревожный,1,0,Yandex Toloka,0
51,51,52,51,filler_no,ликующая печь,Нет,908,ликующая,1,0,Yandex Toloka,0
52,52,53,52,filler_yes,захватывающая книга,Да,805,захватывающая,1,0,Yandex Toloka,0
53,53,54,53,filler_no,благодарная карета,Нет,733,благодарная,1,0,Yandex Toloka,0
54,54,55,54,filler_no,ядовитый престиж,Нет,797,ядовитый,1,0,Yandex Toloka,0
55,55,56,55,filler_yes,хороший ученик,Да,668,хороший,1,0,Yandex Toloka,0
56,56,57,56,filler_no,сутулая камера,Нет,716,сутулая,1,0,Yandex Toloka,0
57,57,58,57,filler_no,фазовая лилия,Нет,773,фазовая,1,0,Yandex Toloka,0
58,58,59,58,bleaching,страшная жажда,Да,805,страшная,1,0,Yandex Toloka,0
59,59,60,59,literal_b,лёгкая куртка,Да,699,лёгкая,1,0,Yandex Toloka,0
60,60,61,60,filler_yes,зелёная ручка,Да,708,зелёная,1,0,Yandex Toloka,0
61,61,62,61,metaphor,горячая битва,Нет,880,горячая,0,0,Yandex Toloka,0
62,62,63,62,filler_no,талый туризм,Нет,764,талый,1,0,Yandex Toloka,0
63,63,64,63,literal_m,горький вкус,Да,628,горький,1,0,Yandex Toloka,0
64,64,65,64,filler_no,влиятельный сад,Нет,2127,влиятельный,1,1,Yandex Toloka,1
65,65,66,65,filler_yes,гнилой томат,Да,827,гнилой,1,1,Yandex Toloka,1
66,66,67,66,filler_no,компетентный грот,Нет,1132,компетентный,1,1,Yandex Toloka,1
67,67,68,67,filler_no,хоровой арбуз,Нет,907,хоровой,1,1,Yandex Toloka,1
68,68,69,68,filler_yes,хороший ученик,Да,769,хороший,1,1,Yandex Toloka,1
69,69,70,69,filler_no,ядовитый престиж,Нет,967,ядовитый,1,1,Yandex Toloka,1
70,70,71,70,filler_no,цветущая помада,Нет,1382,цветущая,1,1,Yandex Toloka,1
