NP,freq
безумные ученые,613
безумные деньги,710
безумная чайка,5
безумная нужда,2
бешеные собаки,2674
бешеные деньги,4052
бешеный мужик,10
бешеный голод,9
глубокий овраг,2706
глубокий выдох,1196
глубокая телега,4
глубокая ярость,6
дикий пляж,4435
дикий крик,2835
дикий козерог,4
дикий негатив,8
крепкие зубы,1830
крепкие вина,985
крепкий руль,32
крепкий квас,47
тяжёлый камень,2523
тяжёлый взгляд,2605
тяжёлый сундук,139
тяжёлый кашель,165
лёгкая куртка,1539
лёгкая улыбка,3939
лёгкий зонтик,21
лёгкий кризис,30
страшная ночь,1264
страшная жара,1025
страшная морда,198
страшная жажда,194
горький вкус,4470
горький опыт,7056
горькая дыня,108
горькая дума,91
грязная посуда,4273
грязная работа,4714
грязная пена,279
грязная ложь,256
острые ножи,13548
острые боли,16342
острая мотыга,12
острая одышка,15
сладкий сироп,1166
сладкий голос,988
сладкая хурма,32
сладкая слава,10
ледяной дождь,3014
ледяной ветер,3186
ледяной град,32
ледяной кофе,51
холодный склад,744
холодный голос,941
холодный майонез,6
холодный разговор,11
горячий кофе,4597
горячий спор,3012
горячая водка,79
горячая битва,54
светлая ткань,949
светлая мысль,963
светлые штаны,104
светлые планы,79
