Participant,Age,Sex,Errors,List
0,52,female,6.25,1
1,19,male,6.25,1
2,30,male,18.75,1
3,38,male,12.5,1
4,41,male,6.25,1
5,31,male,10.42,1
6,27,male,31.25,1
7,32,male,12.5,1
8,52,male,14.58,1
9,34,male,2.08,1
10,29,female,6.25,1
11,35,male,16.67,1
12,26,female,0.0,1
13,18,male,8.33,1
14,27,male,14.58,1
15,55,male,6.25,1
16,33,male,2.08,1
17,41,female,2.08,1
18,28,male,6.25,1
19,41,female,6.25,1
20,25,male,12.5,1
21,55,female,2.08,1
22,53,female,8.33,1
23,25,female,8.33,1
24,25,female,4.17,1
25,35,female,4.17,1
26,31,male,8.33,1
27,35,male,10.42,1
28,35,female,6.25,1
29,34,female,2.08,1
30,50,male,2.08,1
31,53,female,0.0,1
32,39,female,6.25,1
33,38,female,6.25,1
34,50,female,6.25,1
35,64,male,2.08,1
36,424,male,10.42,1
37,35,male,8.33,1
38,28,male,6.25,1
39,34,female,4.17,1
40,20,male,14.58,1
41,51,male,0.0,1
42,38,male,4.17,1
43,41,male,4.17,1
44,42,female,10.42,1
45,26,male,10.42,1
46,38,male,6.25,1
47,18,female,6.25,1
48,34,female,33.33,1
49,59,male,6.25,1
50,50,male,2.08,1
51,38,male,6.25,1
52,46,male,6.25,1
53,32,female,0.0,1
54,34,female,18.75,1
55,31,male,2.08,1
56,34,female,10.42,1
57,26,male,4.17,1
58,32,male,6.25,1
59,49,female,6.25,1
60,33,male,0.0,1
61,47,male,4.17,1
62,37,male,8.33,1
63,39,female,10.42,1
64,42,male,35.42,1
65,31,male,10.42,1
66,21,male,6.25,1
67,37,male,68.75,1
68,59,male,4.17,1
69,71,female,2.08,1
70,52,female,6.25,1
71,21,male,6.25,1
72,30,female,8.33,1
73,48,female,8.33,1
74,30,female,6.25,1
75,52,female,6.25,1
76,36,male,0.0,1
77,40,male,8.33,1
78,40,female,2.08,1
79,27,male,6.25,1
80,18,male,50.0,2
81,58,male,6.25,2
82,48,male,4.17,2
83,40,male,8.33,2
84,26,female,6.25,2
85,50,male,2.08,2
86,19,male,6.25,2
87,45,male,4.17,2
88,52,male,8.33,2
89,23,male,64.58,2
90,43,male,2.08,2
91,42,male,10.42,2
92,36,male,2.08,2
93,48,female,4.17,2
94,31,male,0.0,2
95,59,male,6.25,2
96,32,female,6.25,2
97,36,male,8.33,2
98,19,male,35.42,2
99,25,male,10.42,2
100,32,female,6.25,2
101,19,female,10.42,2
102,44,male,4.17,2
103,40,male,6.25,2
104,50,male,6.25,2
105,19,female,18.75,2
106,48,male,0.0,2
107,18,male,10.42,2
108,31,male,4.17,2
109,34,male,6.25,2
110,36,male,12.5,2
111,38,male,2.08,2
112,53,male,8.33,2
113,31,male,6.25,2
114,35,female,6.25,2
115,32,female,6.25,2
116,23,female,8.33,2
117,35,male,6.25,2
118,34,female,4.17,2
119,34,female,10.42,2
120,55,male,22.92,2
121,21,female,2.08,2
122,33,male,4.17,2
123,34,female,2.08,2
124,38,male,8.33,2
125,19,female,10.42,2
126,41,male,6.25,2
127,31,female,8.33,2
128,39,male,6.25,2
129,38,male,4.17,2
130,30,female,10.42,2
131,23,male,0.0,2
132,48,male,8.33,2
133,25,male,2.08,2
134,29,female,2.08,2
135,67,male,8.33,2
136,46,male,8.33,2
137,39,male,4.17,2
138,53,male,8.33,2
139,34,female,2.08,2
140,32,male,20.83,2
141,57,female,22.92,2
142,46,male,16.67,2
143,43,male,4.17,2
144,38,male,8.33,2
145,34,female,6.25,2
146,52,female,6.25,2
147,37,male,4.17,2
148,27,male,6.25,2
149,25,male,4.17,2
150,46,male,10.42,2
151,40,female,2.08,2
152,22,female,22.92,2
153,18,male,4.17,2
154,25,male,4.17,2
155,56,male,2.08,2
156,53,male,4.17,2
157,37,female,6.25,2
158,40,female,0.0,2
159,55,male,4.17,2
160,26,female,16.67,3
161,33,male,4.17,3
162,39,female,0.0,3
163,52,female,6.25,3
164,41,male,10.42,3
165,32,male,6.25,3
166,38,male,6.25,3
167,40,male,8.33,3
168,36,male,10.42,3
169,54,female,2.08,3
170,43,male,8.33,3
171,37,male,6.25,3
172,23,male,6.25,3
173,27,male,20.83,3
174,35,male,4.17,3
175,51,female,14.58,3
176,32,male,8.33,3
177,30,male,8.33,3
178,54,male,12.5,3
179,31,male,2.08,3
180,30,female,4.17,3
181,38,male,25.0,3
182,32,female,10.42,3
183,41,male,10.42,3
184,31,female,8.33,3
185,46,male,10.42,3
186,43,female,16.67,3
187,55,female,0.0,3
188,37,female,4.17,3
189,39,male,10.42,3
190,32,female,8.33,3
191,37,male,6.25,3
192,38,male,0.0,3
193,44,male,16.67,3
194,40,male,4.17,3
195,35,male,4.17,3
196,58,male,29.17,3
197,38,male,6.25,3
198,47,male,14.58,3
199,47,female,4.17,3
200,25,female,12.5,3
201,37,male,10.42,3
202,51,male,10.42,3
203,74,male,10.42,3
204,30,female,8.33,3
205,49,female,12.5,3
206,54,male,4.17,3
207,38,female,14.58,3
208,40,male,10.42,3
209,45,female,4.17,3
210,18,male,12.5,3
211,33,female,2.08,3
212,26,female,14.58,3
213,25,male,10.42,3
214,58,female,10.42,3
215,18,male,29.17,3
216,33,male,8.33,3
217,50,female,6.25,3
218,32,male,16.67,3
219,48,female,8.33,3
220,48,male,2.08,3
221,47,male,6.25,3
222,22,male,12.5,3
223,27,female,12.5,3
224,59,male,4.17,3
225,29,female,10.42,3
226,38,male,6.25,3
227,36,male,10.42,3
228,32,female,6.25,3
229,34,female,8.33,3
230,23,male,66.67,3
231,43,female,4.17,3
232,39,female,16.67,3
233,35,female,10.42,3
234,53,female,16.67,3
235,29,female,18.75,3
236,32,male,56.25,3
237,35,male,8.33,3
238,46,male,8.33,3
239,38,male,10.42,3
240,18,female,10.42,4
241,19,male,6.25,4
242,23,male,12.5,4
243,20,female,6.25,4
244,18,female,4.17,4
245,23,female,4.17,4
246,19,female,6.25,4
247,38,male,6.25,4
248,24,male,16.67,4
249,26,female,6.25,4
250,22,female,0.0,4
251,30,male,22.92,4
252,23,male,4.17,4
253,28,female,16.67,4
254,33,female,2.08,4
255,20,female,6.25,4
256,20,female,2.8,4
257,16,female,12.5,4
258,20,male,6.25,4
259,19,male,8.33,4
260,19,female,10.42,4
261,20,female,6.25,4
262,39,female,8.33,4
263,29,female,6.25,4
264,26,female,0.0,4
265,27,female,4.17,4
266,22,female,8.33,4
267,24,female,8.33,4
268,21,female,10.42,4
269,30,female,8.33,4
270,21,female,12.5,4
271,25,female,4.17,4
272,18,male,18.75,4
273,22,female,10.42,4
274,20,male,10.42,4
275,20,female,6.25,4
276,18,female,10.42,4
277,19,female,18.75,4
278,21,male,18.75,4
279,19,female,4.17,4
280,18,female,8.33,4
281,19,female,0.0,4
282,23,male,2.08,4
283,27,female,4.17,4
284,22,female,0.0,4
285,29,male,4.17,4
286,23,female,4.17,4
287,29,female,6.25,4
288,25,female,2.08,4
289,20,female,2.08,4
290,24,female,2.08,4
291,25,male,6.25,4
292,20,female,6.25,4
293,28,female,2.08,4
294,35,female,2.08,4
295,23,female,6.25,4
296,26,female,0.0,4
297,21,male,2.08,4
298,20,female,8.33,4
299,22,female,6.25,4
300,39,female,10.42,4
301,52,male,4.17,4
302,25,female,4.17,4
303,32,male,2.08,4
304,19,female,8.33,4
305,26,male,2.08,4
306,20,female,4.17,4
307,32,female,10.42,4
308,20,male,6.25,4
309,21,female,10.42,4
310,22,male,16.67,4
311,22,male,6.25,4
312,20,male,8.33,4
313,17,female,14.58,4
314,19,male,10.42,4
315,21,female,12.5,4
316,20,male,2.08,4
317,21,female,6.25,4
318,21,male,8.33,4
319,21,female,12.5,4
