index;Type;NP;Answer;RT;Item;Correct;Participant;Source
0;filler_no;бюджетный вирус;Нет;1525;бюджетный;1;0;Yandex Toloka
1;filler_yes;вкусный помидор;Да;959;вкусный;1;0;Yandex Toloka
2;filler_no;круглосуточное тесто;Нет;1133;круглосуточное;1;0;Yandex Toloka
3;filler_no;точечный паркет;Нет;1331;точечный;1;0;Yandex Toloka
4;filler_yes;удобный сервис;Да;895;удобный;1;0;Yandex Toloka
5;filler_no;компетентный грот;Нет;1191;компетентный;1;0;Yandex Toloka
6;filler_no;зеркальная сигарета;Нет;1151;зеркальная;1;0;Yandex Toloka
7;filler_yes;деревянная лавочка;Да;936;деревянная;1;0;Yandex Toloka
8;filler_no;талантливый пирог;Нет;1045;талантливый;1;0;Yandex Toloka
9;filler_no;включенный комод;Нет;1218;включенный;1;0;Yandex Toloka
10;bleaching;бешеный голод;Да;1631;бешеный;1;0;Yandex Toloka
11;literal_b;безумные ученые;Да;1004;безумные;1;0;Yandex Toloka
12;filler_yes;влажная трава;Да;783;влажная;1;0;Yandex Toloka
13;metaphor;сладкая слава;Нет;1097;сладкая;0;0;Yandex Toloka
14;filler_no;отсталый снег;Нет;953;отсталый;1;0;Yandex Toloka
15;literal_m;светлая ткань;Да;818;светлая;1;0;Yandex Toloka
16;filler_no;консервная пьеса;Нет;1002;консервная;1;0;Yandex Toloka
17;filler_yes;умный друг;Да;784;умный;1;0;Yandex Toloka
18;filler_no;усатая корзина;Нет;886;усатая;1;0;Yandex Toloka
19;filler_no;мозговая сирень;Нет;1069;мозговая;1;0;Yandex Toloka
20;filler_yes;газовая печка;Да;971;газовая;1;0;Yandex Toloka
21;filler_no;торопливый комок;Нет;1027;торопливый;1;0;Yandex Toloka
22;filler_no;влиятельный сад;Нет;821;влиятельный;1;0;Yandex Toloka
23;filler_yes;тёплая погода;Да;794;тёплая;1;0;Yandex Toloka
24;filler_no;щедрый факел;Нет;1004;щедрый;1;0;Yandex Toloka
25;filler_no;хоровой арбуз;Нет;810;хоровой;1;0;Yandex Toloka
26;bleaching;тяжёлый кашель;Да;860;тяжёлый;1;0;Yandex Toloka
27;literal_b;крепкие зубы;Да;722;крепкие;1;0;Yandex Toloka
28;filler_yes;быстрый транспорт;Да;721;быстрый;1;0;Yandex Toloka
29;metaphor;ледяной кофе;Да;878;ледяной;1;0;Yandex Toloka
30;filler_no;женатый отчет;Нет;810;женатый;1;0;Yandex Toloka
31;literal_m;острые ножи;Да;660;острые;1;0;Yandex Toloka
32;filler_no;гордый мрамор;Нет;755;гордый;1;0;Yandex Toloka
33;filler_yes;известный актёр;Да;854;известный;1;0;Yandex Toloka
34;filler_no;хвойная сплетня;Нет;795;хвойная;1;0;Yandex Toloka
35;filler_no;томатный приют;Нет;827;томатный;1;0;Yandex Toloka
36;filler_yes;гнилой томат;Да;782;гнилой;1;0;Yandex Toloka
37;filler_no;честный крюк;Нет;811;честный;1;0;Yandex Toloka
38;filler_no;литровый диван;Нет;784;литровый;1;0;Yandex Toloka
39;filler_yes;белые носки;Да;720;белые;1;0;Yandex Toloka
40;filler_no;выпускной цвет;Нет;748;выпускной;1;0;Yandex Toloka
41;filler_no;антисоветская река;Нет;731;антисоветская;1;0;Yandex Toloka
42;bleaching;дикий негатив;Нет;867;дикий;0;0;Yandex Toloka
43;literal_b;глубокий овраг;Да;767;глубокий;1;0;Yandex Toloka
44;filler_yes;апельсиновый сок;Да;801;апельсиновый;1;0;Yandex Toloka
45;metaphor;грязная ложь;Да;755;грязная;1;0;Yandex Toloka
46;filler_no;цветущая помада;Нет;773;цветущая;1;0;Yandex Toloka
47;literal_m;холодный склад;Да;1052;холодный;1;0;Yandex Toloka
48;filler_no;здравый паспорт;Нет;788;здравый;1;0;Yandex Toloka
49;filler_yes;свежие новости;Да;685;свежие;1;0;Yandex Toloka
50;filler_no;тревожный кошелёк;Нет;854;тревожный;1;0;Yandex Toloka
51;filler_no;ликующая печь;Нет;908;ликующая;1;0;Yandex Toloka
52;filler_yes;захватывающая книга;Да;805;захватывающая;1;0;Yandex Toloka
53;filler_no;благодарная карета;Нет;733;благодарная;1;0;Yandex Toloka
54;filler_no;ядовитый престиж;Нет;797;ядовитый;1;0;Yandex Toloka
55;filler_yes;хороший ученик;Да;668;хороший;1;0;Yandex Toloka
56;filler_no;сутулая камера;Нет;716;сутулая;1;0;Yandex Toloka
57;filler_no;фазовая лилия;Нет;773;фазовая;1;0;Yandex Toloka
58;bleaching;страшная жажда;Да;805;страшная;1;0;Yandex Toloka
59;literal_b;лёгкая куртка;Да;699;лёгкая;1;0;Yandex Toloka
60;filler_yes;зелёная ручка;Да;708;зелёная;1;0;Yandex Toloka
61;metaphor;горячая битва;Нет;880;горячая;0;0;Yandex Toloka
62;filler_no;талый туризм;Нет;764;талый;1;0;Yandex Toloka
63;literal_m;горький вкус;Да;628;горький;1;0;Yandex Toloka
64;filler_no;влиятельный сад;Нет;2127;влиятельный;1;1;Yandex Toloka
65;filler_yes;гнилой томат;Да;827;гнилой;1;1;Yandex Toloka
66;filler_no;компетентный грот;Нет;1132;компетентный;1;1;Yandex Toloka
67;filler_no;хоровой арбуз;Нет;907;хоровой;1;1;Yandex Toloka
68;filler_yes;хороший ученик;Да;769;хороший;1;1;Yandex Toloka
69;filler_no;ядовитый престиж;Нет;967;ядовитый;1;1;Yandex Toloka
70;filler_no;цветущая помада;Нет;1382;цветущая;1;1;Yandex Toloka
71;filler_yes;захватывающая книга;Да;797;захватывающая;1;1;Yandex Toloka
72;filler_no;хвойная сплетня;Нет;951;хвойная;1;1;Yandex Toloka
73;filler_no;антисоветская река;Нет;1599;антисоветская;1;1;Yandex Toloka
74;metaphor;горячая битва;Да;1093;горячая;1;1;Yandex Toloka
75;literal_m;острые ножи;Да;740;острые;1;1;Yandex Toloka
76;filler_yes;вкусный помидор;Да;767;вкусный;1;1;Yandex Toloka
77;literal_b;безумные ученые;Да;1157;безумные;1;1;Yandex Toloka
78;filler_no;женатый отчет;Нет;916;женатый;1;1;Yandex Toloka
79;bleaching;страшная жажда;Да;1171;страшная;1;1;Yandex Toloka
80;filler_no;щедрый факел;Нет;1176;щедрый;1;1;Yandex Toloka
81;filler_yes;газовая печка;Да;2420;газовая;1;1;Yandex Toloka
82;filler_no;тревожный кошелёк;Нет;1263;тревожный;1;1;Yandex Toloka
83;filler_no;сутулая камера;Нет;1013;сутулая;1;1;Yandex Toloka
84;filler_yes;тёплая погода;Да;766;тёплая;1;1;Yandex Toloka
85;filler_no;гордый мрамор;Нет;808;гордый;1;1;Yandex Toloka
86;filler_no;мозговая сирень;Нет;798;мозговая;1;1;Yandex Toloka
87;filler_yes;умный друг;Да;686;умный;1;1;Yandex Toloka
88;filler_no;зеркальная сигарета;Нет;947;зеркальная;1;1;Yandex Toloka
89;filler_no;фазовая лилия;Нет;877;фазовая;1;1;Yandex Toloka
90;metaphor;ледяной кофе;Да;1421;ледяной;1;1;Yandex Toloka
91;literal_m;горький вкус;Да;751;горький;1;1;Yandex Toloka
92;filler_yes;свежие новости;Да;800;свежие;1;1;Yandex Toloka
93;literal_b;лёгкая куртка;Да;1242;лёгкая;1;1;Yandex Toloka
94;filler_no;круглосуточное тесто;Нет;2448;круглосуточное;1;1;Yandex Toloka
95;bleaching;дикий негатив;Нет;2833;дикий;0;1;Yandex Toloka
96;filler_no;выпускной цвет;Да;1582;выпускной;0;1;Yandex Toloka
97;filler_yes;зелёная ручка;Да;2695;зелёная;1;1;Yandex Toloka
98;filler_no;консервная пьеса;Нет;1225;консервная;1;1;Yandex Toloka
99;filler_no;торопливый комок;Нет;1313;торопливый;1;1;Yandex Toloka
100;filler_yes;удобный сервис;Да;6123;удобный;1;1;Yandex Toloka
101;filler_no;усатая корзина;Нет;1760;усатая;1;1;Yandex Toloka
102;filler_no;ликующая печь;Нет;1028;ликующая;1;1;Yandex Toloka
103;filler_yes;известный актёр;Да;1313;известный;1;1;Yandex Toloka
104;filler_no;честный крюк;Нет;711;честный;1;1;Yandex Toloka
105;filler_no;включенный комод;Нет;1081;включенный;1;1;Yandex Toloka
106;metaphor;грязная ложь;Да;1205;грязная;1;1;Yandex Toloka
107;literal_m;холодный склад;Нет;950;холодный;0;1;Yandex Toloka
108;filler_yes;белые носки;Да;672;белые;1;1;Yandex Toloka
109;literal_b;крепкие зубы;Да;973;крепкие;1;1;Yandex Toloka
110;filler_no;литровый диван;Нет;836;литровый;1;1;Yandex Toloka
111;bleaching;бешеный голод;Да;1102;бешеный;1;1;Yandex Toloka
112;filler_no;томатный приют;Нет;1537;томатный;1;1;Yandex Toloka
113;filler_yes;влажная трава;Да;807;влажная;1;1;Yandex Toloka
114;filler_no;здравый паспорт;Нет;736;здравый;1;1;Yandex Toloka
115;filler_no;талантливый пирог;Нет;1023;талантливый;1;1;Yandex Toloka
116;filler_yes;апельсиновый сок;Да;1181;апельсиновый;1;1;Yandex Toloka
117;filler_no;бюджетный вирус;Нет;2694;бюджетный;1;1;Yandex Toloka
118;filler_no;благодарная карета;Нет;1007;благодарная;1;1;Yandex Toloka
119;filler_yes;деревянная лавочка;Да;1080;деревянная;1;1;Yandex Toloka
120;filler_no;талый туризм;Нет;1027;талый;1;1;Yandex Toloka
121;filler_no;точечный паркет;Нет;2638;точечный;1;1;Yandex Toloka
122;metaphor;сладкая слава;Да;1826;сладкая;1;1;Yandex Toloka
123;literal_m;светлая ткань;Да;941;светлая;1;1;Yandex Toloka
124;filler_yes;быстрый транспорт;Да;702;быстрый;1;1;Yandex Toloka
125;literal_b;глубокий овраг;Да;4661;глубокий;1;1;Yandex Toloka
126;filler_no;отсталый снег;Нет;1183;отсталый;1;1;Yandex Toloka
127;bleaching;тяжёлый кашель;Да;5425;тяжёлый;1;1;Yandex Toloka
128;filler_no;щедрый факел;Нет;2003;щедрый;1;2;Yandex Toloka
129;filler_no;бюджетный вирус;Нет;1555;бюджетный;1;2;Yandex Toloka
130;filler_yes;гнилой томат;Да;3194;гнилой;1;2;Yandex Toloka
131;filler_no;антисоветская река;Нет;2059;антисоветская;1;2;Yandex Toloka
132;filler_no;усатая корзина;Нет;2129;усатая;1;2;Yandex Toloka
133;filler_yes;вкусный помидор;Да;1123;вкусный;1;2;Yandex Toloka
134;filler_no;мозговая сирень;Нет;1214;мозговая;1;2;Yandex Toloka
135;filler_no;точечный паркет;Нет;1395;точечный;1;2;Yandex Toloka
136;filler_yes;тёплая погода;Нет;849;тёплая;0;2;Yandex Toloka
137;filler_no;хвойная сплетня;Нет;1747;хвойная;1;2;Yandex Toloka
138;metaphor;горячая битва;Да;1994;горячая;1;2;Yandex Toloka
139;literal_m;холодный склад;Да;1308;холодный;1;2;Yandex Toloka
140;filler_no;сутулая камера;Нет;1010;сутулая;1;2;Yandex Toloka
141;bleaching;тяжёлый кашель;Да;1675;тяжёлый;1;2;Yandex Toloka
142;filler_yes;известный актёр;Да;1748;известный;1;2;Yandex Toloka
143;literal_b;лёгкая куртка;Да;1778;лёгкая;1;2;Yandex Toloka
144;filler_no;ядовитый престиж;Нет;1525;ядовитый;1;2;Yandex Toloka
145;filler_no;выпускной цвет;Нет;1850;выпускной;1;2;Yandex Toloka
146;filler_yes;зелёная ручка;Да;2595;зелёная;1;2;Yandex Toloka
147;filler_no;гордый мрамор;Нет;1297;гордый;1;2;Yandex Toloka
148;filler_no;тревожный кошелёк;Нет;3956;тревожный;1;2;Yandex Toloka
149;filler_yes;влажная трава;Да;2055;влажная;1;2;Yandex Toloka
150;filler_no;хоровой арбуз;Нет;2236;хоровой;1;2;Yandex Toloka
151;filler_no;ликующая печь;Нет;1423;ликующая;1;2;Yandex Toloka
152;filler_yes;газовая печка;Да;1480;газовая;1;2;Yandex Toloka
153;filler_no;литровый диван;Да;1490;литровый;0;2;Yandex Toloka
154;metaphor;ледяной кофе;Нет;1678;ледяной;0;2;Yandex Toloka
155;literal_m;горький вкус;Да;1298;горький;1;2;Yandex Toloka
156;filler_no;круглосуточное тесто;Нет;1490;круглосуточное;1;2;Yandex Toloka
157;bleaching;бешеный голод;Да;2288;бешеный;1;2;Yandex Toloka
158;filler_yes;хороший ученик;Да;1137;хороший;1;2;Yandex Toloka
159;literal_b;крепкие зубы;Да;918;крепкие;1;2;Yandex Toloka
160;filler_no;томатный приют;Нет;1021;томатный;1;2;Yandex Toloka
161;filler_no;отсталый снег;Нет;1118;отсталый;1;2;Yandex Toloka
162;filler_yes;быстрый транспорт;Да;1137;быстрый;1;2;Yandex Toloka
163;filler_no;влиятельный сад;Нет;1341;влиятельный;1;2;Yandex Toloka
164;filler_no;фазовая лилия;Нет;1972;фазовая;1;2;Yandex Toloka
165;filler_yes;деревянная лавочка;Да;1629;деревянная;1;2;Yandex Toloka
166;filler_no;здравый паспорт;Нет;1256;здравый;1;2;Yandex Toloka
167;filler_no;зеркальная сигарета;Нет;1739;зеркальная;1;2;Yandex Toloka
168;filler_yes;умный друг;Да;1306;умный;1;2;Yandex Toloka
169;filler_no;талантливый пирог;Нет;1383;талантливый;1;2;Yandex Toloka
170;metaphor;грязная ложь;Нет;1135;грязная;0;2;Yandex Toloka
171;literal_m;светлая ткань;Нет;994;светлая;0;2;Yandex Toloka
172;filler_no;включенный комод;Нет;1921;включенный;1;2;Yandex Toloka
173;bleaching;страшная жажда;Да;1813;страшная;1;2;Yandex Toloka
174;filler_yes;удобный сервис;Нет;1516;удобный;0;2;Yandex Toloka
175;literal_b;глубокий овраг;Нет;1910;глубокий;0;2;Yandex Toloka
176;filler_no;цветущая помада;Нет;1671;цветущая;1;2;Yandex Toloka
177;filler_no;компетентный грот;Нет;1714;компетентный;1;2;Yandex Toloka
178;filler_yes;свежие новости;Да;1593;свежие;1;2;Yandex Toloka
179;filler_no;талый туризм;Нет;1682;талый;1;2;Yandex Toloka
180;filler_no;благодарная карета;Нет;1562;благодарная;1;2;Yandex Toloka
181;filler_yes;белые носки;Нет;1167;белые;0;2;Yandex Toloka
182;filler_no;честный крюк;Нет;1354;честный;1;2;Yandex Toloka
183;filler_no;консервная пьеса;Нет;1752;консервная;1;2;Yandex Toloka
184;filler_yes;захватывающая книга;Да;1300;захватывающая;1;2;Yandex Toloka
185;filler_no;женатый отчет;Нет;970;женатый;1;2;Yandex Toloka
186;metaphor;сладкая слава;Да;964;сладкая;1;2;Yandex Toloka
187;literal_m;острые ножи;Нет;1530;острые;0;2;Yandex Toloka
188;filler_no;торопливый комок;Нет;2060;торопливый;1;2;Yandex Toloka
189;bleaching;дикий негатив;Да;1823;дикий;1;2;Yandex Toloka
190;filler_yes;апельсиновый сок;Да;1492;апельсиновый;1;2;Yandex Toloka
191;literal_b;безумные ученые;Да;1470;безумные;1;2;Yandex Toloka
192;filler_no;ядовитый престиж;Нет;3431;ядовитый;1;3;Yandex Toloka
193;filler_yes;быстрый транспорт;Да;2287;быстрый;1;3;Yandex Toloka
194;filler_no;цветущая помада;Нет;1152;цветущая;1;3;Yandex Toloka
195;filler_no;здравый паспорт;Нет;944;здравый;1;3;Yandex Toloka
196;filler_yes;влажная трава;Да;1113;влажная;1;3;Yandex Toloka
197;filler_no;бюджетный вирус;Нет;1806;бюджетный;1;3;Yandex Toloka
198;filler_no;гордый мрамор;Нет;1153;гордый;1;3;Yandex Toloka
199;filler_yes;гнилой томат;Да;1215;гнилой;1;3;Yandex Toloka
200;filler_no;торопливый комок;Нет;1396;торопливый;1;3;Yandex Toloka
